name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Tim Ziko,26,,,0.8,2.3,.339,0.5,0.9,.565,3.4,0.8,0.5,0.2,1.1,2.2,2.0,
Chris Zikos,31,1,,0.1,0.4,.273,,,,,,,0.6,0.9,.667,0.5,0.5
Giacomo Zilli,83,33,9.7,1.3,2.5,.529,1.3,2.5,.529,0.0,0.0,,1.0,1.4,.693,1.0,1.3
Jim Zilli,2,,,0.0,0.0,,0.0,0.0,,0.5,0.0,,,,0.5,0.0,
Greg Zilverberg,10,2,2.0,0.7,1.3,.538,0.2,0.5,.400,0.5,0.0,,,,0.8,1.6,
Stanley Zima,51,,,2.5,2.9,.840,1.1,1.1,1.056,2.3,,,,,0.5,6.1,
Andrew Zimbro,7,0,1.7,0.1,0.4,.333,0.1,0.3,.500,0.0,0.1,.000,0.3,0.3,1.000,0.0,0.4
Ken Zimko,5,,,0.2,1.4,.143,0.0,0.2,.000,0.4,,,,,0.6,0.4,
Bill Zimmer,9,,,0.4,1.8,.250,0.9,1.3,.667,0.7,,,,,,1.8,
Jason Zimmer,2,2,2.0,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,,
Adam Zimmerman,36,1,1.9,0.2,0.5,.333,0.1,0.3,.444,0.1,0.3,.222,0.0,0.0,.000,0.1,0.2
Arnie Zimmerman,11,,,2.2,6.5,.333,1.8,2.7,.667,1.7,,,,,2.4,6.2,
Ben Zimmerman,11,0,,0.5,1.7,.316,0.3,0.5,.500,0.5,0.2,,,,0.6,1.4,
Chris Zimmerman,25,25,,0.3,1.0,.280,0.2,0.7,.294,0.1,0.3,.250,0.4,0.5,.917,,
Dave Zimmerman,6,0,,0.0,2.2,.000,0.3,0.5,.667,1.5,,,,,1.0,0.3,
