name,G,GS,MP,FG,FGA,FG%,P2,2PA,2P%,3P,3PA,3P%,FT,FTA,FT%,ORB,DRB
Gabe Hadley,39,17,16.5,2.3,5.1,.457,0.8,1.5,.569,1.5,3.6,.411,0.5,0.7,.731,0.1,1.8
Greg Hadley,13,,3.8,0.3,0.9,.333,,,,,,,0.2,0.3,.500,0.8,0.1
J'Vonne Hadley,13,0,6.1,0.4,1.3,.294,0.3,0.8,.364,0.1,0.5,.167,0.0,0.1,.000,0.2,0.8
Mike Hadley,19,,,1.2,2.7,.423,0.9,1.7,.515,1.6,0.3,,,,1.7,3.2,
Shawn Hadley,20,0,4.4,0.4,1.2,.304,0.4,1.1,.333,0.0,0.1,.000,0.1,0.3,.400,,
J.K. Hadlock,6,0,1.2,0.3,0.7,.500,0.2,0.3,.500,0.2,0.3,.500,0.0,0.0,,0.2,0.2
James Hadnot,84,,,6.9,13.3,.519,3.6,5.9,.611,15.5,,,,,2.6,17.5,
Shawn Hadnot,5,0,3.4,0.2,0.8,.250,0.2,0.8,.250,0.0,0.0,,0.6,0.8,.750,,
Pete Hadrovic,12,0,2.6,0.2,0.4,.400,,,,,,,0.0,0.0,,0.3,0.0
Damir Hadzic,36,12,11.4,1.2,3.1,.387,0.7,1.4,.531,0.5,1.7,.274,0.6,0.8,.700,0.5,1.2
Ivan Hadzic,17,0,6.8,0.2,0.6,.364,0.2,0.4,.571,0.0,0.2,.000,0.1,0.2,.250,0.3,0.5
Ed Hadzick,18,0,,0.3,1.8,.188,0.2,0.4,.571,1.0,0.2,,,,1.2,0.9,
Igor Hadziomerovic,109,65,21.7,1.7,4.2,.404,1.3,2.9,.446,0.4,1.3,.307,0.9,1.5,.621,0.7,2.1
Tom Haeberle,23,,,3.3,8.7,.373,2.6,3.8,.682,2.7,,,,,1.8,9.1,
Randy Haefner,49,,3.1,0.7,1.6,.410,0.3,0.4,.700,0.8,0.2,,,,0.3,1.6,
Andy Haemker,2,0,2.0,0.0,0.5,.000,0.0,0.0,,0.0,0.5,.000,0.0,0.5,.000,,
Craig Haese,112,47,31.8,2.9,6.9,.421,1.2,2.2,.516,1.8,4.7,.376,1.6,1.9,.858,,
Jorge Haeussler,7,,,0.3,0.4,.667,0.3,0.3,1.000,1.1,,,,,0.7,0.6,
Russ Hafen,2,0,7.5,0.5,2.0,.250,0.0,0.0,,0.0,0.0,,,0.5,1.5,1.0,
Brian Hafer,14,1,3.4,0.2,1.0,.214,0.1,0.4,.400,0.1,0.6,.111,0.0,0.1,.000,,
